Datum,Laufwerke,Speicherwerke,Total Hydraulisch,Kernkraftwerke,Thermisch,Windkraft,Photovoltaik,Total Erneuerbar,Verbrauch Speicherpumpen,Nettoerzeugung Total,Einfuhr,Ausfuhr,Überschuss,Landesverbrauch,Mittlere Tagestemperatur,Wasserführung Rhein,Wasserführung in %
2025-01-01,26.2,18.3,44.5,71.0,9.9,1.2,6.2,132.8,26.5,106.3,140.8,74.7,66.1,172.4,1.0,672.0,86.0
2025-01-08,37.7,67.6,105.3,70.8,10.7,1.6,2.9,191.2,6.0,185.3,116.9,106.6,10.3,195.6,7.0,1572.0,200.0
2025-01-15,40.5,107.2,147.7,71.1,12.3,0.7,7.3,239.2,8.1,231.1,79.6,91.0,-11.4,219.7,-0.0,1061.0,135.0
2025-01-22,35.9,95.8,131.7,71.0,12.2,1.2,3.6,219.8,3.6,216.2,74.0,72.2,1.7,217.9,1.0,862.0,110.0
2025-01-29,36.5,62.4,98.9,71.0,12.4,0.9,13.5,196.8,10.7,186.0,114.3,102.3,12.0,198.0,6.0,1578.0,201.0
2025-02-05,33.7,92.1,125.8,71.1,10.8,0.4,11.5,219.6,5.4,214.1,82.8,83.4,-0.6,213.5,-0.0,922.0,113.0
2025-02-12,31.7,85.7,117.4,70.7,10.9,0.4,8.9,208.3,3.8,204.5,79.2,86.8,-7.7,196.9,7.0,834.0,102.0
2025-02-19,30.3,76.3,106.6,69.2,10.8,0.2,13.3,200.1,1.8,198.3,110.2,97.7,12.5,210.9,2.0,759.0,93.0
2025-02-26,28.5,59.8,88.3,70.9,10.6,0.8,8.3,178.9,6.4,172.5,97.3,69.0,28.3,200.7,5.0,679.0,83.0
2025-03-05,27.9,48.9,76.8,70.8,10.1,0.1,27.3,185.3,7.2,178.1,94.0,73.3,20.8,198.8,7.0,553.0,63.0
2025-03-12,30.2,45.2,75.4,70.7,10.6,0.1,8.4,165.2,8.9,156.3,76.2,38.7,37.6,193.9,7.0,519.0,59.0
2025-03-19,25.3,33.3,58.6,70.8,10.5,0.2,33.1,173.2,16.1,157.2,81.0,46.2,34.9,192.0,7.0,485.0,55.0
2025-03-26,28.6,42.1,70.7,70.5,10.4,0.2,15.3,167.0,7.1,159.9,82.8,58.5,24.3,184.2,9.0,479.0,55.0
2025-04-02,28.0,35.2,63.1,70.5,9.2,0.6,35.4,178.9,6.6,172.3,111.1,98.7,12.4,184.6,9.0,472.0,46.0
2025-04-09,32.4,45.5,78.0,61.8,10.3,0.2,38.0,188.3,9.7,178.6,85.8,87.9,-2.1,176.5,10.0,439.0,42.0
2025-04-16,47.3,58.7,106.0,61.7,9.4,0.4,16.1,193.5,8.8,184.7,62.8,81.8,-19.0,165.7,10.0,536.0,52.0
2025-04-23,43.9,44.4,88.4,62.2,9.7,0.4,28.4,189.1,10.2,178.9,65.7,77.3,-11.6,167.3,11.0,601.0,58.0
2025-04-30,48.2,49.8,97.9,40.9,9.1,0.2,45.0,193.1,10.2,182.9,59.2,85.2,-25.9,156.9,17.0,593.0,57.0
2025-05-07,57.8,94.4,152.3,41.5,8.1,0.5,13.7,216.1,11.2,204.9,63.2,97.6,-34.3,170.6,9.0,999.0,80.0
2025-05-14,51.6,61.4,113.0,41.1,8.6,0.1,48.4,211.2,17.0,194.1,67.7,95.1,-27.4,166.7,15.0,736.0,59.0
2025-05-21,53.7,60.5,114.2,38.5,7.9,0.2,21.4,182.2,8.3,174.0,64.0,72.7,-8.7,165.2,15.0,821.0,66.0
2025-05-28,55.1,74.1,129.3,21.3,9.5,0.9,15.0,175.9,6.2,169.7,63.2,70.5,-7.3,162.4,15.0,817.0,65.0
2025-06-04,70.4,86.3,156.7,46.1,9.9,0.8,22.4,236.0,21.2,214.8,51.7,108.0,-56.3,158.5,17.0,1227.0,82.0
2025-06-11,64.7,78.4,143.1,46.1,10.1,0.2,48.5,247.9,21.9,226.1,49.8,111.9,-62.1,164.0,20.0,1134.0,76.0
2025-06-18,62.6,93.4,156.0,45.6,9.9,0.2,49.0,260.8,17.2,243.6,48.6,123.1,-74.4,169.1,21.0,922.0,61.0
2025-06-25,59.3,85.4,144.7,44.9,9.3,0.1,47.8,246.9,16.1,230.8,53.3,111.4,-58.1,172.7,25.0,765.0,51.0
2025-07-02,59.3,96.3,155.6,30.6,9.1,0.1,45.7,241.1,18.3,222.8,59.5,104.2,-44.7,178.1,26.0,710.0,50.0
2025-07-09,55.0,56.7,111.6,46.0,9.9,0.3,44.1,212.0,26.5,185.4,73.0,95.7,-22.7,162.7,16.0,918.0,65.0
2025-07-16,50.2,61.1,111.3,44.2,10.2,0.5,26.1,192.3,13.5,178.8,82.2,98.3,-16.2,162.6,20.0,718.0,51.0
2025-07-23,56.9,64.8,121.7,27.5,10.3,0.2,38.9,198.5,16.0,182.5,67.8,98.3,-30.5,152.0,19.0,957.0,68.0
2025-07-30,60.4,67.9,128.3,44.6,9.8,0.2,29.0,211.8,19.6,192.3,59.6,106.2,-46.6,145.6,17.0,1748.0,124.0
